role,email,password,name,digital_id,broadband_id,phone,department,location,sub_distributor_email,cluster_email
sub_distributor,sd1@test.com,Sd@Pass001,Sub Distributor One,SD001,BB001,9110000001,Distribution,Zone A,,
sub_distributor,sd2@test.com,Sd@Pass002,Sub Distributor Two,SD002,BB002,9110000002,Distribution,Zone B,,
sub_distributor,sd3@test.com,Sd@Pass003,Sub Distributor Three,SD003,BB003,9110000003,Distribution,Zone C,,
sub_distributor,sd4@test.com,Sd@Pass004,Sub Distributor Four,SD004,BB004,9110000004,Distribution,Zone D,,
sub_distributor,sd5@test.com,Sd@Pass005,Sub Distributor Five,SD005,BB005,9110000005,Distribution,Zone E,,
sub_distributor,sd6@test.com,Sd@Pass006,Sub Distributor Six,SD006,BB006,9110000006,Distribution,Zone F,,
sub_distributor,sd7@test.com,Sd@Pass007,Sub Distributor Seven,SD007,BB007,9110000007,Distribution,Zone G,,
sub_distributor,sd8@test.com,Sd@Pass008,Sub Distributor Eight,SD008,BB008,9110000008,Distribution,Zone H,,
sub_distributor,sd9@test.com,Sd@Pass009,Sub Distributor Nine,SD009,BB009,9110000009,Distribution,Zone I,,
sub_distributor,sd10@test.com,Sd@Pass010,Sub Distributor Ten,SD010,BB010,9110000010,Distribution,Zone J,,
cluster,cl1_sd1@test.com,Cl@Pass001,Cluster One-SD1,,,,,,sd1@test.com,
cluster,cl2_sd1@test.com,Cl@Pass002,Cluster Two-SD1,,,,,,sd1@test.com,
cluster,cl3_sd1@test.com,Cl@Pass003,Cluster Three-SD1,,,,,,sd1@test.com,
cluster,cl4_sd1@test.com,Cl@Pass004,Cluster Four-SD1,,,,,,sd1@test.com,
cluster,cl5_sd1@test.com,Cl@Pass005,Cluster Five-SD1,,,,,,sd1@test.com,
cluster,cl1_sd2@test.com,Cl@Pass006,Cluster One-SD2,,,,,,sd2@test.com,
cluster,cl2_sd2@test.com,Cl@Pass007,Cluster Two-SD2,,,,,,sd2@test.com,
cluster,cl3_sd2@test.com,Cl@Pass008,Cluster Three-SD2,,,,,,sd2@test.com,
cluster,cl4_sd2@test.com,Cl@Pass009,Cluster Four-SD2,,,,,,sd2@test.com,
cluster,cl5_sd2@test.com,Cl@Pass010,Cluster Five-SD2,,,,,,sd2@test.com,
cluster,cl1_sd3@test.com,Cl@Pass011,Cluster One-SD3,,,,,,sd3@test.com,
cluster,cl2_sd3@test.com,Cl@Pass012,Cluster Two-SD3,,,,,,sd3@test.com,
cluster,cl3_sd3@test.com,Cl@Pass013,Cluster Three-SD3,,,,,,sd3@test.com,
cluster,cl4_sd3@test.com,Cl@Pass014,Cluster Four-SD3,,,,,,sd3@test.com,
cluster,cl5_sd3@test.com,Cl@Pass015,Cluster Five-SD3,,,,,,sd3@test.com,
cluster,cl1_sd4@test.com,Cl@Pass016,Cluster One-SD4,,,,,,sd4@test.com,
cluster,cl2_sd4@test.com,Cl@Pass017,Cluster Two-SD4,,,,,,sd4@test.com,
cluster,cl3_sd4@test.com,Cl@Pass018,Cluster Three-SD4,,,,,,sd4@test.com,
cluster,cl4_sd4@test.com,Cl@Pass019,Cluster Four-SD4,,,,,,sd4@test.com,
cluster,cl5_sd4@test.com,Cl@Pass020,Cluster Five-SD4,,,,,,sd4@test.com,
cluster,cl1_sd5@test.com,Cl@Pass021,Cluster One-SD5,,,,,,sd5@test.com,
cluster,cl2_sd5@test.com,Cl@Pass022,Cluster Two-SD5,,,,,,sd5@test.com,
cluster,cl3_sd5@test.com,Cl@Pass023,Cluster Three-SD5,,,,,,sd5@test.com,
cluster,cl4_sd5@test.com,Cl@Pass024,Cluster Four-SD5,,,,,,sd5@test.com,
cluster,cl5_sd5@test.com,Cl@Pass025,Cluster Five-SD5,,,,,,sd5@test.com,
cluster,cl1_sd6@test.com,Cl@Pass026,Cluster One-SD6,,,,,,sd6@test.com,
cluster,cl2_sd6@test.com,Cl@Pass027,Cluster Two-SD6,,,,,,sd6@test.com,
cluster,cl3_sd6@test.com,Cl@Pass028,Cluster Three-SD6,,,,,,sd6@test.com,
cluster,cl4_sd6@test.com,Cl@Pass029,Cluster Four-SD6,,,,,,sd6@test.com,
cluster,cl5_sd6@test.com,Cl@Pass030,Cluster Five-SD6,,,,,,sd6@test.com,
cluster,cl1_sd7@test.com,Cl@Pass031,Cluster One-SD7,,,,,,sd7@test.com,
cluster,cl2_sd7@test.com,Cl@Pass032,Cluster Two-SD7,,,,,,sd7@test.com,
