role,email,password,name,cluster_id,phone,department,location,sub_distributor_email,cluster_email
cluster,cluster1@example.com,Pass@123,Cluster One,CL001,+911234567900,Field,Upazila A,sd1@example.com,
cluster,cluster2@example.com,Pass@123,Cluster Two,CL002,+911234567901,Field,Upazila B,sd1@example.com,
cluster,cluster3@example.com,Pass@123,Cluster Three,CL003,+911234567902,Field,Upazila C,sd2@example.com,
cluster,cluster4@example.com,Pass@123,Cluster Four,CL004,+911234567903,Field,Upazila D,sd2@example.com,
cluster,cluster5@example.com,Pass@123,Cluster Five,CL005,+911234567904,Field,Upazila E,sd3@example.com,
cluster,cluster6@example.com,Pass@123,Cluster Six,CL006,+911234567905,Field,Upazila F,sd3@example.com,
cluster,cluster7@example.com,Pass@123,Cluster Seven,CL007,+911234567906,Field,Upazila G,sd4@example.com,
cluster,cluster8@example.com,Pass@123,Cluster Eight,CL008,+911234567907,Field,Upazila H,sd4@example.com,
cluster,cluster9@example.com,Pass@123,Cluster Nine,CL009,+911234567908,Field,Upazila I,sd5@example.com,
cluster,cluster10@example.com,Pass@123,Cluster Ten,CL010,+911234567909,Field,Upazila J,sd5@example.com,
cluster,cluster11@example.com,Pass@123,Cluster Eleven,CL011,+911234567910,Field,Upazila K,sd6@example.com,
cluster,cluster12@example.com,Pass@123,Cluster Twelve,CL012,+911234567911,Field,Upazila L,sd6@example.com,
cluster,cluster13@example.com,Pass@123,Cluster Thirteen,CL013,+911234567912,Field,Upazila M,sd7@example.com,
cluster,cluster14@example.com,Pass@123,Cluster Fourteen,CL014,+911234567913,Field,Upazila N,sd7@example.com,
cluster,cluster15@example.com,Pass@123,Cluster Fifteen,CL015,+911234567914,Field,Upazila O,sd8@example.com,
cluster,cluster16@example.com,Pass@123,Cluster Sixteen,CL016,+911234567915,Field,Upazila P,sd8@example.com,
cluster,cluster17@example.com,Pass@123,Cluster Seventeen,CL017,+911234567916,Field,Upazila Q,sd9@example.com,
cluster,cluster18@example.com,Pass@123,Cluster Eighteen,CL018,+911234567917,Field,Upazila R,sd9@example.com,
cluster,cluster19@example.com,Pass@123,Cluster Nineteen,CL019,+911234567918,Field,Upazila S,sd10@example.com,
cluster,cluster20@example.com,Pass@123,Cluster Twenty,CL020,+911234567919,Field,Upazila T,sd10@example.com,
