role,email,password,name,digital_id,broadband_id,cluster_id,operator_id,phone,department,location,sub_distributor_email,cluster_email
operator,op1@example.com,Pass@123,Operator One,,,,OP001,,+911234567920,Field Ops,Remote 1,,cluster1@example.com
operator,op2@example.com,Pass@123,Operator Two,,,,OP002,,+911234567921,Field Ops,Remote 2,,cluster1@example.com
operator,op3@example.com,Pass@123,Operator Three,,,,OP003,,+911234567922,Field Ops,Remote 3,,cluster1@example.com
operator,op4@example.com,Pass@123,Operator Four,,,,OP004,,+911234567923,Field Ops,Remote 4,,cluster1@example.com
operator,op5@example.com,Pass@123,Operator Five,,,,OP005,,+911234567924,Field Ops,Remote 5,,cluster1@example.com
operator,op6@example.com,Pass@123,Operator Six,,,,OP006,,+911234567925,Field Ops,Remote 6,,cluster1@example.com
operator,op7@example.com,Pass@123,Operator Seven,,,,OP007,,+911234567926,Field Ops,Remote 7,,cluster1@example.com
operator,op8@example.com,Pass@123,Operator Eight,,,,OP008,,+911234567927,Field Ops,Remote 8,,cluster1@example.com
operator,op9@example.com,Pass@123,Operator Nine,,,,OP009,,+911234567928,Field Ops,Remote 9,,cluster1@example.com
operator,op10@example.com,Pass@123,Operator Ten,,,,OP010,,+911234567929,Field Ops,Remote 10,,cluster1@example.com
operator,op11@example.com,Pass@123,Operator Eleven,,,,OP011,,+911234567930,Field Ops,Remote 11,,cluster2@example.com
operator,op12@example.com,Pass@123,Operator Twelve,,,,OP012,,+911234567931,Field Ops,Remote 12,,cluster2@example.com
operator,op13@example.com,Pass@123,Operator Thirteen,,,,OP013,,+911234567932,Field Ops,Remote 13,,cluster2@example.com
operator,op14@example.com,Pass@123,Operator Fourteen,,,,OP014,,+911234567933,Field Ops,Remote 14,,cluster2@example.com
operator,op15@example.com,Pass@123,Operator Fifteen,,,,OP015,,+911234567934,Field Ops,Remote 15,,cluster2@example.com
operator,op16@example.com,Pass@123,Operator Sixteen,,,,OP016,,+911234567935,Field Ops,Remote 16,,cluster2@example.com
operator,op17@example.com,Pass@123,Operator Seventeen,,,,OP017,,+911234567936,Field Ops,Remote 17,,cluster2@example.com
operator,op18@example.com,Pass@123,Operator Eighteen,,,,OP018,,+911234567937,Field Ops,Remote 18,,cluster2@example.com
operator,op19@example.com,Pass@123,Operator Nineteen,,,,OP019,,+911234567938,Field Ops,Remote 19,,cluster2@example.com
operator,op20@example.com,Pass@123,Operator Twenty,,,,OP020,,+911234567939,Field Ops,Remote 20,,cluster2@example.com
operator,op21@example.com,Pass@123,Operator Twenty One,,,,OP021,,+911234567940,Field Ops,Remote 21,,cluster3@example.com
operator,op22@example.com,Pass@123,Operator Twenty Two,,,,OP022,,+911234567941,Field Ops,Remote 22,,cluster3@example.com
operator,op23@example.com,Pass@123,Operator Twenty Three,,,,OP023,,+911234567942,Field Ops,Remote 23,,cluster3@example.com
operator,op24@example.com,Pass@123,Operator Twenty Four,,,,OP024,,+911234567943,Field Ops,Remote 24,,cluster3@example.com
operator,op25@example.com,Pass@123,Operator Twenty Five,,,,OP025,,+911234567944,Field Ops,Remote 25,,cluster3@example.com
operator,op26@example.com,Pass@123,Operator Twenty Six,,,,OP026,,+911234567945,Field Ops,Remote 26,,cluster3@example.com
operator,op27@example.com,Pass@123,Operator Twenty Seven,,,,OP027,,+911234567946,Field Ops,Remote 27,,cluster3@example.com
operator,op28@example.com,Pass@123,Operator Twenty Eight,,,,OP028,,+911234567947,Field Ops,Remote 28,,cluster3@example.com
operator,op29@example.com,Pass@123,Operator Twenty Nine,,,,OP029,,+911234567948,Field Ops,Remote 29,,cluster3@example.com
operator,op30@example.com,Pass@123,Operator Thirty,,,,OP030,,+911234567949,Field Ops,Remote 30,,cluster3@example.com
operator,op31@example.com,Pass@123,Operator Thirty One,,,,OP031,,+911234567950,Field Ops,Remote 31,,cluster4@example.com
operator,op32@example.com,Pass@123,Operator Thirty Two,,,,OP032,,+911234567951,Field Ops,Remote 32,,cluster4@example.com
operator,op33@example.com,Pass@123,Operator Thirty Three,,,,OP033,,+911234567952,Field Ops,Remote 33,,cluster4@example.com
operator,op34@example.com,Pass@123,Operator Thirty Four,,,,OP034,,+911234567953,Field Ops,Remote 34,,cluster4@example.com
operator,op35@example.com,Pass@123,Operator Thirty Five,,,,OP035,,+911234567954,Field Ops,Remote 35,,cluster4@example.com
operator,op36@example.com,Pass@123,Operator Thirty Six,,,,OP036,,+911234567955,Field Ops,Remote 36,,cluster4@example.com
operator,op37@example.com,Pass@123,Operator Thirty Seven,,,,OP037,,+911234567956,Field Ops,Remote 37,,cluster4@example.com
operator,op38@example.com,Pass@123,Operator Thirty Eight,,,,OP038,,+911234567957,Field Ops,Remote 38,,cluster4@example.com
operator,op39@example.com,Pass@123,Operator Thirty Nine,,,,OP039,,+911234567958,Field Ops,Remote 39,,cluster4@example.com
operator,op40@example.com,Pass@123,Operator Forty,,,,OP040,,+911234567959,Field Ops,Remote 40,,cluster4@example.com
operator,op41@example.com,Pass@123,Operator Forty One,,,,OP041,,+911234567960,Field Ops,Remote 41,,cluster5@example.com
operator,op42@example.com,Pass@123,Operator Forty Two,,,,OP042,,+911234567961,Field Ops,Remote 42,,cluster5@example.com
operator,op43@example.com,Pass@123,Operator Forty Three,,,,OP043,,+911234567962,Field Ops,Remote 43,,cluster5@example.com
operator,op44@example.com,Pass@123,Operator Forty Four,,,,OP044,,+911234567963,Field Ops,Remote 44,,cluster5@example.com
operator,op45@example.com,Pass@123,Operator Forty Five,,,,OP045,,+911234567964,Field Ops,Remote 45,,cluster5@example.com
operator,op46@example.com,Pass@123,Operator Forty Six,,,,OP046,,+911234567965,Field Ops,Remote 46,,cluster5@example.com
operator,op47@example.com,Pass@123,Operator Forty Seven,,,,OP047,,+911234567966,Field Ops,Remote 47,,cluster5@example.com
operator,op48@example.com,Pass@123,Operator Forty Eight,,,,OP048,,+911234567967,Field Ops,Remote 48,,cluster5@example.com
operator,op49@example.com,Pass@123,Operator Forty Nine,,,,OP049,,+911234567968,Field Ops,Remote 49,,cluster5@example.com
operator,op50@example.com,Pass@123,Operator Fifty,,,,OP050,,+911234567969,Field Ops,Remote 50,,cluster5@example.com
operator,op51@example.com,Pass@123,Operator Fifty One,,,,OP051,,+911234567970,Field Ops,Remote 51,,cluster6@example.com
operator,op52@example.com,Pass@123,Operator Fifty Two,,,,OP052,,+911234567971,Field Ops,Remote 52,,cluster6@example.com
operator,op53@example.com,Pass@123,Operator Fifty Three,,,,OP053,,+911234567972,Field Ops,Remote 53,,cluster6@example.com
operator,op54@example.com,Pass@123,Operator Fifty Four,,,,OP054,,+911234567973,Field Ops,Remote 54,,cluster6@example.com
operator,op55@example.com,Pass@123,Operator Fifty Five,,,,OP055,,+911234567974,Field Ops,Remote 55,,cluster6@example.com
operator,op56@example.com,Pass@123,Operator Fifty Six,,,,OP056,,+911234567975,Field Ops,Remote 56,,cluster6@example.com
operator,op57@example.com,Pass@123,Operator Fifty Seven,,,,OP057,,+911234567976,Field Ops,Remote 57,,cluster6@example.com
operator,op58@example.com,Pass@123,Operator Fifty Eight,,,,OP058,,+911234567977,Field Ops,Remote 58,,cluster6@example.com
operator,op59@example.com,Pass@123,Operator Fifty Nine,,,,OP059,,+911234567978,Field Ops,Remote 59,,cluster6@example.com
operator,op60@example.com,Pass@123,Operator Sixty,,,,OP060,,+911234567979,Field Ops,Remote 60,,cluster6@example.com
operator,op61@example.com,Pass@123,Operator Sixty One,,,,OP061,,+911234567980,Field Ops,Remote 61,,cluster7@example.com
operator,op62@example.com,Pass@123,Operator Sixty Two,,,,OP062,,+911234567981,Field Ops,Remote 62,,cluster7@example.com
operator,op63@example.com,Pass@123,Operator Sixty Three,,,,OP063,,+911234567982,Field Ops,Remote 63,,cluster7@example.com
operator,op64@example.com,Pass@123,Operator Sixty Four,,,,OP064,,+911234567983,Field Ops,Remote 64,,cluster7@example.com
